Cycle 3,Sample School,Sample School,Sample School,Sample School,Sample School
Date,Grade,Class,Diner,Quantity,Meal
05-Nov-24,Primary,0Sample,78d4606d,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,61c4dcea,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,fe87a27a,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,a1d725b9,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,97b9c769,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,f66244f8,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,baabe42a,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,80bf17f3,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
06-Nov-24,Primary,0Sample,75d1ad73,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,78d4606d,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,61c4dcea,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,a1d725b9,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,97b9c769,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,f66244f8,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,a2932d17,1,Black Bean Burrito Bowl
06-Nov-24,Primary,0Sample,baabe42a,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,80bf17f3,1,Cheesy Bean Burrito in Tortilla with Vegetables
07-Nov-24,Primary,0Sample,75d1ad73,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,1798eeda,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,78d4606d,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,61c4dcea,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,a1d725b9,1,Corn Chowder with L'uskinikn (Biscuit) and Fruit
07-Nov-24,Primary,0Sample,97b9c769,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,f66244f8,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,baabe42a,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,0Sample,80bf17f3,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
08-Nov-24,Primary,0Sample,75d1ad73,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,78d4606d,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,61c4dcea,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,fe87a27a,1,Hummus (Chickpea Dip) Vegetable Wrap
08-Nov-24,Primary,0Sample,a1d725b9,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,97b9c769,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,f66244f8,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,baabe42a,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,80bf17f3,1,Chicken Ranch Wrap
08-Nov-24,Primary,0Sample,1022191e,1,Chicken Ranch Wrap
28-Oct-24,Primary,0Sample,b22ff2e8,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,e2aaa2a5,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,30b8724a,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,1e4f25ea,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,28cd2de8,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,2d2aeba2,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,c2a8aacc,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,1d1d6280,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,2911c092,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,dba05066,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,9c505e55,1,Macaroni and Cheese with Beef and Vegetables
29-Oct-24,Primary,0Sample,b22ff2e8,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,e2aaa2a5,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,30b8724a,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,1e4f25ea,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,2d2aeba2,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,c2a8aacc,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,1d1d6280,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,2911c092,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,0Sample,dba05066,1,Soft Chicken Taco with Cheese and Vegetables
30-Oct-24,Primary,0Sample,b22ff2e8,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,e2aaa2a5,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,30b8724a,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,1e4f25ea,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,28cd2de8,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,2d2aeba2,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,c2a8aacc,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,1d1d6280,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,2911c092,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,0Sample,dba05066,1,Baked Potato with Beef Chilli and Vegetables
31-Oct-24,Primary,0Sample,b22ff2e8,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,e2aaa2a5,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,30b8724a,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,1e4f25ea,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,28cd2de8,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,2d2aeba2,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,0Sample,c2a8aacc,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,1d1d6280,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,2911c092,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,0Sample,dba05066,1,Maple Apple French Toast Bake with Apples and Blueberries
01-Nov-24,Primary,0Sample,b22ff2e8,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,e2aaa2a5,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,30b8724a,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,1e4f25ea,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,28cd2de8,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,2d2aeba2,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Primary,0Sample,c2a8aacc,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,1d1d6280,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,2911c092,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,dba05066,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,0Sample,9c505e55,1,Mini Cheese Pizza with Vegetables
04-Nov-24,Primary,0Sample,b22ff2e8,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,e2aaa2a5,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,30b8724a,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,1e4f25ea,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,28cd2de8,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,2d2aeba2,1,Pasta with Tomato Lentil Sauce
04-Nov-24,Primary,0Sample,c2a8aacc,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,1d1d6280,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,2911c092,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,dba05066,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,0Sample,9c505e55,1,Pasta with Tomato Beef Sauce
05-Nov-24,Primary,0Sample,b22ff2e8,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,e2aaa2a5,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,30b8724a,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,1e4f25ea,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,28cd2de8,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,2d2aeba2,1,Chickpea Curry with Rice and Vegetables
05-Nov-24,Primary,0Sample,c2a8aacc,1,Chickpea Curry with Rice and Vegetables
05-Nov-24,Primary,0Sample,1d1d6280,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,0Sample,dba05066,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
06-Nov-24,Primary,0Sample,b22ff2e8,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,e2aaa2a5,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,30b8724a,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,0Sample,1e4f25ea,1,Cheesy Bean Burrito in Tortilla with Vegetables
